Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0805_2012Metric",162.730000,-82.050000,270.000000,bottom
"C2","0.1u","C_0805_2012Metric",142.743750,-86.688750,0.000000,bottom
"C3","0.1u","C_0805_2012Metric",160.000000,-89.450000,180.000000,bottom
"C4","10u","C_0805_2012Metric",145.850000,-76.320000,270.000000,bottom
"C5","22p","C_0805_2012Metric",166.530000,-83.000000,180.000000,bottom
"C6","22p","C_0805_2012Metric",166.530000,-88.600000,180.000000,bottom
"C7","1u","C_0805_2012Metric",153.610000,-75.620000,270.000000,bottom
"D1","1N4148","D_SOD-123",1.681250,-11.906250,90.000000,bottom
"D2","1N4148","D_SOD-123",20.750000,-11.906250,90.000000,bottom
"D3","1N4148","D_SOD-123",39.800000,-11.906250,90.000000,bottom
"D4","1N4148","D_SOD-123",58.850000,-11.906250,90.000000,bottom
"D5","1N4148","D_SOD-123",77.900000,-11.906250,90.000000,bottom
"D6","1N4148","D_SOD-123",96.950000,-11.906250,90.000000,bottom
"D7","1N4148","D_SOD-123",116.000000,-11.906250,90.000000,bottom
"D8","1N4148","D_SOD-123",135.050000,-11.906250,90.000000,bottom
"D9","1N4148","D_SOD-123",154.100000,-11.906250,90.000000,bottom
"D10","1N4148","D_SOD-123",173.150000,-11.906250,90.000000,bottom
"D11","1N4148","D_SOD-123",192.200000,-11.906250,90.000000,bottom
"D12","1N4148","D_SOD-123",211.250000,-11.906250,90.000000,bottom
"D13","1N4148","D_SOD-123",230.300000,-11.906250,90.000000,bottom
"D14","1N4148","D_SOD-123",258.875000,-11.906250,90.000000,bottom
"D15","1N4148","D_SOD-123",287.450000,-11.906250,90.000000,bottom
"D16","1N4148","D_SOD-123",6.462500,-30.956250,90.000000,bottom
"D17","1N4148","D_SOD-123",30.275000,-30.956250,90.000000,bottom
"D18","1N4148","D_SOD-123",49.325000,-30.956250,90.000000,bottom
"D19","1N4148","D_SOD-123",68.375000,-30.956250,90.000000,bottom
"D20","1N4148","D_SOD-123",87.425000,-30.956250,90.000000,bottom
"D21","1N4148","D_SOD-123",106.475000,-30.956250,90.000000,bottom
"D22","1N4148","D_SOD-123",125.525000,-30.956250,90.000000,bottom
"D23","1N4148","D_SOD-123",144.575000,-30.956250,90.000000,bottom
"D24","1N4148","D_SOD-123",163.625000,-30.956250,90.000000,bottom
"D25","1N4148","D_SOD-123",182.675000,-30.956250,90.000000,bottom
"D26","1N4148","D_SOD-123",201.725000,-30.956250,90.000000,bottom
"D27","1N4148","D_SOD-123",220.775000,-30.956250,90.000000,bottom
"D28","1N4148","D_SOD-123",239.825000,-30.956250,90.000000,bottom
"D29","1N4148","D_SOD-123",263.637500,-30.956250,90.000000,bottom
"D30","1N4148","D_SOD-123",287.450000,-30.956250,90.000000,bottom
"D31","1N4148","D_SOD-123",8.843750,-50.006250,90.000000,bottom
"D32","1N4148","D_SOD-123",35.037500,-50.006250,90.000000,bottom
"D33","1N4148","D_SOD-123",54.087500,-50.006250,90.000000,bottom
"D34","1N4148","D_SOD-123",73.137500,-50.006250,90.000000,bottom
"D35","1N4148","D_SOD-123",92.187500,-50.006250,90.000000,bottom
"D36","1N4148","D_SOD-123",111.237500,-50.006250,90.000000,bottom
"D37","1N4148","D_SOD-123",130.287500,-50.006250,90.000000,bottom
"D38","1N4148","D_SOD-123",149.337500,-50.006250,90.000000,bottom
"D39","1N4148","D_SOD-123",168.387500,-50.006250,90.000000,bottom
"D40","1N4148","D_SOD-123",187.437500,-50.006250,90.000000,bottom
"D41","1N4148","D_SOD-123",206.487500,-50.006250,90.000000,bottom
